FECHA,Accidentes,Capped
2016-04-22,86,86.0
2016-04-23,102,102.0
2016-04-24,87,87.0
2016-04-25,124,124.0
2016-04-26,120,120.0
2016-04-27,135,135.0
2016-04-28,131,131.0
2016-04-29,148,148.0
2016-04-30,121,121.0
2016-05-01,89,89.0
2016-05-02,104,104.0
2016-05-03,113,113.0
2016-05-04,120,120.0
2016-05-05,136,136.0
2016-05-06,162,162.0
2016-05-07,134,134.0
2016-05-08,79,79.0
2016-05-09,77,77.0
2016-05-10,129,129.0
2016-05-11,133,133.0
2016-05-12,128,128.0
2016-05-13,133,133.0
2016-05-14,101,101.0
2016-05-15,82,82.0
2016-05-16,139,139.0
2016-05-17,154,154.0
2016-05-18,115,115.0
2016-05-19,149,149.0
2016-05-20,113,113.0
2016-05-21,132,132.0
2016-05-22,68,68.0
2016-05-23,136,136.0
2016-05-24,122,122.0
2016-05-25,124,124.0
2016-05-26,136,136.0
2016-05-27,107,107.0
2016-05-28,107,107.0
2016-05-29,64,64.0
2016-05-30,55,55.0
2016-05-31,64,64.0
2016-06-01,104,104.0
2016-06-02,124,124.0
2016-06-03,120,120.0
2016-06-04,112,112.0
2016-06-05,59,59.0
2016-06-06,60,60.0
2016-06-07,133,133.0
2016-06-08,99,99.0
2016-06-09,107,107.0
2016-06-10,118,118.0
2016-06-11,119,119.0
2016-06-12,97,97.0
2016-06-13,117,117.0
2016-06-14,137,137.0
2016-06-15,131,131.0
2016-06-16,116,116.0
2016-06-17,118,118.0
2016-06-18,150,150.0
2016-06-19,82,82.0
2016-06-20,127,127.0
2016-06-21,131,131.0
2016-06-22,129,129.0
2016-06-23,145,145.0
2016-06-24,100,100.0
2016-06-25,106,106.0
2016-06-26,72,72.0
2016-06-27,113,113.0
2016-06-28,124,124.0
2016-06-29,99,99.0
2016-06-30,56,56.0
2016-07-01,107,107.0
2016-07-02,120,120.0
2016-07-03,49,49.0
2016-07-04,63,63.0
2016-07-05,125,125.0
2016-07-06,111,111.0
2016-07-07,126,126.0
2016-07-08,128,128.0
2016-07-09,156,156.0
2016-07-10,73,73.0
2016-07-11,112,112.0
2016-07-12,118,118.0
2016-07-13,117,117.0
2016-07-14,125,125.0
2016-07-15,166,166.0
2016-07-16,104,104.0
2016-07-17,81,81.0
2016-07-18,136,136.0
2016-07-19,131,131.0
2016-07-20,74,74.0
2016-07-21,111,111.0
2016-07-22,114,114.0
2016-07-23,129,129.0
2016-07-24,60,60.0
2016-07-25,124,124.0
2016-07-26,124,124.0
2016-07-27,156,156.0
2016-07-28,140,140.0
2016-07-29,142,142.0
2016-07-30,118,118.0
2016-07-31,81,81.0
2016-08-01,142,142.0
2016-08-02,145,145.0
2016-08-03,137,137.0
2016-08-04,154,154.0
2016-08-05,153,153.0
2016-08-06,136,136.0
2016-08-07,86,86.0
2016-08-08,117,117.0
2016-08-09,145,145.0
2016-08-10,130,130.0
2016-08-11,142,142.0
2016-08-12,124,124.0
2016-08-13,130,130.0
2016-08-14,61,61.0
2016-08-15,53,53.0
2016-08-16,140,140.0
2016-08-17,129,129.0
2016-08-18,156,156.0
2016-08-19,144,144.0
2016-08-20,124,124.0
2016-08-21,80,80.0
2016-08-22,136,136.0
2016-08-23,138,138.0
2016-08-24,123,123.0
2016-08-25,151,151.0
2016-08-26,142,142.0
2016-08-27,101,101.0
2016-08-28,74,74.0
2016-08-29,128,128.0
2016-08-30,107,107.0
2016-08-31,90,90.0
2016-09-01,121,121.0
2016-09-02,151,151.0
